id_venda,data,id_loja,categoria,unidades,receita_brl,nome_loja,regiao,uf,gerente
V00096,2026-02-05,103,Limpeza,139,3047.21,Moema,Sudeste,SP,Carla Nunes
V00097,2026-02-16,103,Mercearia,176,2999.4,Moema,Sudeste,SP,Carla Nunes
V00098,2026-02-18,103,Mercearia,109,1576.17,Moema,Sudeste,SP,Carla Nunes
V00099,2026-02-26,103,Padaria,53,614.19,Moema,Sudeste,SP,Carla Nunes
V00100,2026-02-05,103,Padaria,46,607.43,Moema,Sudeste,SP,Carla Nunes
V00101,2026-02-07,104,Bebidas,131,5707.96,Tijuca,Sudeste,RJ,Diego Prado
V00102,2026-02-07,104,Bebidas,74,2550.48,Tijuca,Sudeste,RJ,Diego Prado
V00103,2026-02-25,104,Higiene,94,2361.24,Tijuca,Sudeste,RJ,Diego Prado
V00104,2026-02-18,104,Higiene,170,4087.94,Tijuca,Sudeste,RJ,Diego Prado
V00105,2026-02-02,104,Limpeza,127,2801.64,Tijuca,Sudeste,RJ,Diego Prado
V00106,2026-02-22,104,Limpeza,110,2461.37,Tijuca,Sudeste,RJ,Diego Prado
V00107,2026-02-17,104,Mercearia,169,2872.65,Tijuca,Sudeste,RJ,Diego Prado
V00108,2026-02-17,104,Mercearia,127,2164.65,Tijuca,Sudeste,RJ,Diego Prado
V00109,2026-02-17,104,Padaria,53,700.76,Tijuca,Sudeste,RJ,Diego Prado
V00110,2026-02-15,104,Padaria,150,1736.98,Tijuca,Sudeste,RJ,Diego Prado
V00111,2026-02-25,105,Bebidas,66,2638.76,Boa Viagem,Nordeste,PE,Elisa Rocha
V00112,2026-02-16,105,Bebidas,58,2078.56,Boa Viagem,Nordeste,PE,Elisa Rocha
V00113,2026-02-18,105,Higiene,178,4715.54,Boa Viagem,Nordeste,PE,Elisa Rocha
V00114,2026-02-17,105,Higiene,35,841.63,Boa Viagem,Nordeste,PE,Elisa Rocha
V00115,2026-02-26,105,Limpeza,155,3204.37,Boa Viagem,Nordeste,PE,Elisa Rocha
V00116,2026-02-02,105,Limpeza,47,1048.29,Boa Viagem,Nordeste,PE,Elisa Rocha
V00117,2026-02-02,105,Mercearia,83,1211.51,Boa Viagem,Nordeste,PE,Elisa Rocha
V00118,2026-02-18,105,Mercearia,45,711.66,Boa Viagem,Nordeste,PE,Elisa Rocha
V00119,2026-02-03,105,Padaria,27,376.7,Boa Viagem,Nordeste,PE,Elisa Rocha
V00120,2026-02-17,105,Padaria,133,1670.74,Boa Viagem,Nordeste,PE,Elisa Rocha
V00121,2026-02-23,106,Bebidas,175,6836.47,Meireles,Nordeste,CE,Fabio Lima
V00122,2026-02-18,106,Bebidas,90,3464.76,Meireles,Nordeste,CE,Fabio Lima
V00123,2026-02-08,106,Higiene,142,3572.72,Meireles,Nordeste,CE,Fabio Lima
V00124,2026-02-09,106,Higiene,153,4195.07,Meireles,Nordeste,CE,Fabio Lima
V00125,2026-02-07,106,Limpeza,163,3643.29,Meireles,Nordeste,CE,Fabio Lima
V00126,2026-02-04,106,Limpeza,134,2491.36,Meireles,Nordeste,CE,Fabio Lima
V00127,2026-02-03,106,Mercearia,120,1867.46,Meireles,Nordeste,CE,Fabio Lima
V00128,2026-02-07,106,Mercearia,81,1256.24,Meireles,Nordeste,CE,Fabio Lima
V00129,2026-02-25,106,Padaria,97,1360.77,Meireles,Nordeste,CE,Fabio Lima
V00130,2026-02-21,106,Padaria,59,857.06,Meireles,Nordeste,CE,Fabio Lima
V00131,2026-02-05,107,Bebidas,113,4018.09,Moinhos,Sul,RS,Gisele Kunz
V00132,2026-02-04,107,Bebidas,139,5043.77,Moinhos,Sul,RS,Gisele Kunz
V00133,2026-02-06,107,Higiene,121,3323.9,Moinhos,Sul,RS,Gisele Kunz
V00134,2026-02-14,107,Higiene,77,1774.0,Moinhos,Sul,RS,Gisele Kunz
V00135,2026-02-14,107,Limpeza,151,3007.76,Moinhos,Sul,RS,Gisele Kunz
V00136,2026-02-03,107,Limpeza,70,1377.89,Moinhos,Sul,RS,Gisele Kunz
V00137,2026-02-18,107,Mercearia,113,1574.66,Moinhos,Sul,RS,Gisele Kunz
V00138,2026-02-01,107,Mercearia,137,2131.14,Moinhos,Sul,RS,Gisele Kunz
V00139,2026-02-20,107,Padaria,118,1484.53,Moinhos,Sul,RS,Gisele Kunz
V00140,2026-02-03,107,Padaria,95,1250.13,Moinhos,Sul,RS,Gisele Kunz
V00141,2026-03-26,101,Bebidas,48,2090.8,Asa Norte,Centro-Oeste,DF,Marina Alves
V00142,2026-03-04,101,Bebidas,78,3387.63,Asa Norte,Centro-Oeste,DF,Marina Alves
V00143,2026-03-02,101,Higiene,41,970.74,Asa Norte,Centro-Oeste,DF,Marina Alves
V00144,2026-03-05,101,Higiene,66,1564.63,Asa Norte,Centro-Oeste,DF,Marina Alves
V00145,2026-03-22,101,Limpeza,128,2833.5,Asa Norte,Centro-Oeste,DF,Marina Alves
V00146,2026-03-18,101,Limpeza,86,1713.94,Asa Norte,Centro-Oeste,DF,Marina Alves
V00147,2026-03-23,101,Mercearia,151,2424.58,Asa Norte,Centro-Oeste,DF,Marina Alves
V00148,2026-03-02,101,Mercearia,103,1463.06,Asa Norte,Centro-Oeste,DF,Marina Alves
V00149,2026-03-03,101,Padaria,66,850.15,Asa Norte,Centro-Oeste,DF,Marina Alves
V00150,2026-03-21,101,Padaria,88,1278.0,Asa Norte,Centro-Oeste,DF,Marina Alves
V00151,2026-03-03,102,Bebidas,42,1756.25,Taguatinga,Centro-Oeste,DF,Bruno Sato
V00152,2026-03-03,102,Bebidas,175,7408.48,Taguatinga,Centro-Oeste,DF,Bruno Sato
V00153,2026-03-15,102,Higiene,87,2378.1,Taguatinga,Centro-Oeste,DF,Bruno Sato
V00154,2026-03-18,102,Higiene,22,530.8,Taguatinga,Centro-Oeste,DF,Bruno Sato
V00155,2026-03-09,102,Limpeza,126,2837.54,Taguatinga,Centro-Oeste,DF,Bruno Sato
V00156,2026-03-17,102,Limpeza,179,3320.97,Taguatinga,Centro-Oeste,DF,Bruno Sato
V00157,2026-03-06,102,Mercearia,81,1415.21,Taguatinga,Centro-Oeste,DF,Bruno Sato
V00158,2026-03-07,102,Mercearia,87,1222.69,Taguatinga,Centro-Oeste,DF,Bruno Sato
V00159,2026-03-17,102,Padaria,99,1339.64,Taguatinga,Centro-Oeste,DF,Bruno Sato
V00160,2026-03-17,102,Padaria,72,896.25,Taguatinga,Centro-Oeste,DF,Bruno Sato
V00161,2026-03-26,103,Bebidas,65,2390.05,Moema,Sudeste,SP,Carla Nunes
V00162,2026-03-02,103,Bebidas,24,1047.55,Moema,Sudeste,SP,Carla Nunes
V00163,2026-03-17,103,Higiene,23,509.75,Moema,Sudeste,SP,Carla Nunes
V00164,2026-03-17,103,Higiene,161,4514.53,Moema,Sudeste,SP,Carla Nunes
V00165,2026-03-15,103,Limpeza,141,2697.65,Moema,Sudeste,SP,Carla Nunes
V00166,2026-03-21,103,Limpeza,47,995.7,Moema,Sudeste,SP,Carla Nunes
V00167,2026-03-18,103,Mercearia,130,2130.38,Moema,Sudeste,SP,Carla Nunes
V00168,2026-03-10,103,Mercearia,120,2111.48,Moema,Sudeste,SP,Carla Nunes
V00169,2026-03-11,103,Padaria,75,1099.79,Moema,Sudeste,SP,Carla Nunes
V00170,2026-03-23,103,Padaria,70,992.83,Moema,Sudeste,SP,Carla Nunes
V00171,2026-03-12,104,Bebidas,55,2092.45,Tijuca,Sudeste,RJ,Diego Prado
V00172,2026-03-01,104,Bebidas,33,1391.0,Tijuca,Sudeste,RJ,Diego Prado
V00173,2026-03-09,104,Higiene,38,983.47,Tijuca,Sudeste,RJ,Diego Prado
V00174,2026-03-03,104,Higiene,130,2996.49,Tijuca,Sudeste,RJ,Diego Prado
V00175,2026-03-22,104,Limpeza,117,2602.19,Tijuca,Sudeste,RJ,Diego Prado
V00176,2026-03-23,104,Limpeza,92,1921.78,Tijuca,Sudeste,RJ,Diego Prado
V00177,2026-03-06,104,Mercearia,95,1333.25,Tijuca,Sudeste,RJ,Diego Prado
V00178,2026-03-01,104,Mercearia,60,893.75,Tijuca,Sudeste,RJ,Diego Prado
V00179,2026-03-11,104,Padaria,87,1103.62,Tijuca,Sudeste,RJ,Diego Prado
V00180,2026-03-02,104,Padaria,160,2008.85,Tijuca,Sudeste,RJ,Diego Prado
V00181,2026-03-06,105,Bebidas,99,3590.7,Boa Viagem,Nordeste,PE,Elisa Rocha
V00182,2026-03-03,105,Bebidas,20,747.71,Boa Viagem,Nordeste,PE,Elisa Rocha
V00183,2026-03-21,105,Higiene,141,3349.94,Boa Viagem,Nordeste,PE,Elisa Rocha
V00184,2026-03-25,105,Higiene,71,1673.48,Boa Viagem,Nordeste,PE,Elisa Rocha
V00185,2026-03-27,105,Limpeza,21,385.6,Boa Viagem,Nordeste,PE,Elisa Rocha
V00186,2026-03-19,105,Limpeza,42,782.28,Boa Viagem,Nordeste,PE,Elisa Rocha
V00187,2026-03-10,105,Mercearia,30,461.3,Boa Viagem,Nordeste,PE,Elisa Rocha
V00188,2026-03-03,105,Mercearia,97,1579.57,Boa Viagem,Nordeste,PE,Elisa Rocha
V00189,2026-03-28,105,Padaria,169,2464.77,Boa Viagem,Nordeste,PE,Elisa Rocha
V00190,2026-03-23,105,Padaria,59,803.82,Boa Viagem,Nordeste,PE,Elisa Rocha
V00191,2026-03-11,106,Bebidas,172,6518.87,Meireles,Nordeste,CE,Fabio Lima
V00192,2026-03-24,106,Bebidas,146,5200.51,Meireles,Nordeste,CE,Fabio Lima
V00193,2026-03-02,106,Higiene,178,4626.17,Meireles,Nordeste,CE,Fabio Lima
V00194,2026-03-24,106,Higiene,151,3909.75,Meireles,Nordeste,CE,Fabio Lima
V00195,2026-03-17,106,Limpeza,149,2771.86,Meireles,Nordeste,CE,Fabio Lima
V00196,2026-03-27,106,Limpeza,149,3089.99,Meireles,Nordeste,CE,Fabio Lima
V00197,2026-03-19,106,Mercearia,24,409.0,Meireles,Nordeste,CE,Fabio Lima
V00198,2026-03-02,106,Mercearia,78,1106.63,Meireles,Nordeste,CE,Fabio Lima
V00199,2026-03-04,106,Padaria,54,732.17,Meireles,Nordeste,CE,Fabio Lima
V00200,2026-03-18,106,Padaria,116,1646.58,Meireles,Nordeste,CE,Fabio Lima
V00201,2026-03-21,107,Bebidas,32,1285.24,Moinhos,Sul,RS,Gisele Kunz
V00202,2026-03-16,107,Bebidas,156,6343.94,Moinhos,Sul,RS,Gisele Kunz
V00203,2026-03-26,107,Higiene,87,1920.12,Moinhos,Sul,RS,Gisele Kunz
V00204,2026-03-17,107,Higiene,37,985.43,Moinhos,Sul,RS,Gisele Kunz
V00205,2026-03-17,107,Limpeza,157,2883.68,Moinhos,Sul,RS,Gisele Kunz
V00206,2026-03-16,107,Limpeza,36,778.32,Moinhos,Sul,RS,Gisele Kunz
V00207,2026-03-28,107,Mercearia,84,1425.94,Moinhos,Sul,RS,Gisele Kunz
V00208,2026-03-25,107,Mercearia,87,1284.46,Moinhos,Sul,RS,Gisele Kunz
V00209,2026-03-21,107,Padaria,72,882.6,Moinhos,Sul,RS,Gisele Kunz
V00210,2026-03-13,107,Padaria,137,1794.79,Moinhos,Sul,RS,Gisele Kunz
V00211,2026-04-22,101,Bebidas,39,1511.27,Asa Norte,Centro-Oeste,DF,Marina Alves
V00212,2026-04-20,101,Bebidas,93,3858.22,Asa Norte,Centro-Oeste,DF,Marina Alves
V00213,2026-04-05,101,Higiene,70,1576.72,Asa Norte,Centro-Oeste,DF,Marina Alves
V00214,2026-04-24,101,Higiene,104,2454.96,Asa Norte,Centro-Oeste,DF,Marina Alves
V00215,2026-04-05,101,Limpeza,97,2037.02,Asa Norte,Centro-Oeste,DF,Marina Alves
V00216,2026-04-16,101,Limpeza,23,467.13,Asa Norte,Centro-Oeste,DF,Marina Alves
V00217,2026-04-04,101,Mercearia,88,1549.17,Asa Norte,Centro-Oeste,DF,Marina Alves
V00218,2026-04-10,101,Mercearia,75,1234.61,Asa Norte,Centro-Oeste,DF,Marina Alves
V00219,2026-04-15,101,Padaria,152,1889.93,Asa Norte,Centro-Oeste,DF,Marina Alves
V00220,2026-04-18,101,Padaria,139,1942.52,Asa Norte,Centro-Oeste,DF,Marina Alves
V00221,2026-04-03,102,Bebidas,71,2638.42,Taguatinga,Centro-Oeste,DF,Bruno Sato
V00222,2026-04-15,102,Bebidas,141,4845.65,Taguatinga,Centro-Oeste,DF,Bruno Sato
V00223,2026-04-15,102,Higiene,39,1055.8,Taguatinga,Centro-Oeste,DF,Bruno Sato
V00224,2026-04-07,102,Higiene,88,2148.91,Taguatinga,Centro-Oeste,DF,Bruno Sato
V00225,2026-04-05,102,Limpeza,39,811.31,Taguatinga,Centro-Oeste,DF,Bruno Sato
V00226,2026-04-12,102,Limpeza,154,2958.72,Taguatinga,Centro-Oeste,DF,Bruno Sato
V00227,2026-04-21,102,Mercearia,53,857.7,Taguatinga,Centro-Oeste,DF,Bruno Sato
V00228,2026-04-04,102,Mercearia,150,2240.45,Taguatinga,Centro-Oeste,DF,Bruno Sato
V00229,2026-04-16,102,Padaria,113,1385.43,Taguatinga,Centro-Oeste,DF,Bruno Sato
V00230,2026-04-01,102,Padaria,120,1391.94,Taguatinga,Centro-Oeste,DF,Bruno Sato
V00231,2026-04-13,103,Bebidas,145,5897.89,Moema,Sudeste,SP,Carla Nunes
V00232,2026-04-14,103,Bebidas,97,3987.5,Moema,Sudeste,SP,Carla Nunes
V00233,2026-04-04,103,Higiene,108,2630.19,Moema,Sudeste,SP,Carla Nunes
V00234,2026-04-25,103,Higiene,104,2294.31,Moema,Sudeste,SP,Carla Nunes
V00235,2026-04-04,103,Limpeza,106,2340.97,Moema,Sudeste,SP,Carla Nunes
V00236,2026-04-24,103,Limpeza,70,1502.01,Moema,Sudeste,SP,Carla Nunes
V00237,2026-04-03,103,Mercearia,94,1394.48,Moema,Sudeste,SP,Carla Nunes
V00238,2026-04-28,103,Mercearia,120,1843.45,Moema,Sudeste,SP,Carla Nunes
V00239,2026-04-14,103,Padaria,170,1999.96,Moema,Sudeste,SP,Carla Nunes
V00240,2026-04-09,103,Padaria,90,1282.83,Moema,Sudeste,SP,Carla Nunes
V00241,2026-04-22,104,Bebidas,46,1595.76,Tijuca,Sudeste,RJ,Diego Prado
V00242,2026-04-05,104,Bebidas,93,3741.59,Tijuca,Sudeste,RJ,Diego Prado
V00243,2026-04-14,104,Higiene,83,2323.8,Tijuca,Sudeste,RJ,Diego Prado
V00244,2026-04-25,104,Higiene,150,3597.46,Tijuca,Sudeste,RJ,Diego Prado
V00245,2026-04-14,104,Limpeza,115,2508.85,Tijuca,Sudeste,RJ,Diego Prado
V00246,2026-04-21,104,Limpeza,27,592.64,Tijuca,Sudeste,RJ,Diego Prado
V00247,2026-04-18,104,Mercearia,122,2119.96,Tijuca,Sudeste,RJ,Diego Prado
V00248,2026-04-03,104,Mercearia,160,2342.92,Tijuca,Sudeste,RJ,Diego Prado
V00249,2026-04-14,104,Padaria,32,464.23,Tijuca,Sudeste,RJ,Diego Prado
V00250,2026-04-05,104,Padaria,135,1820.84,Tijuca,Sudeste,RJ,Diego Prado
V00251,2026-04-18,105,Bebidas,93,3609.61,Boa Viagem,Nordeste,PE,Elisa Rocha
V00252,2026-04-14,105,Bebidas,52,1862.76,Boa Viagem,Nordeste,PE,Elisa Rocha
V00253,2026-04-09,105,Higiene,107,2544.0,Boa Viagem,Nordeste,PE,Elisa Rocha
V00254,2026-04-08,105,Higiene,86,2110.27,Boa Viagem,Nordeste,PE,Elisa Rocha
V00255,2026-04-22,105,Limpeza,97,1970.44,Boa Viagem,Nordeste,PE,Elisa Rocha
V00256,2026-04-21,105,Limpeza,120,2220.69,Boa Viagem,Nordeste,PE,Elisa Rocha
V00257,2026-04-17,105,Mercearia,61,863.11,Boa Viagem,Nordeste,PE,Elisa Rocha
V00258,2026-04-15,105,Mercearia,147,2348.91,Boa Viagem,Nordeste,PE,Elisa Rocha
V00259,2026-04-15,105,Padaria,105,1544.42,Boa Viagem,Nordeste,PE,Elisa Rocha
V00260,2026-04-07,105,Padaria,129,1543.71,Boa Viagem,Nordeste,PE,Elisa Rocha
V00261,2026-04-11,106,Bebidas,82,2875.07,Meireles,Nordeste,CE,Fabio Lima
V00262,2026-04-08,106,Bebidas,162,5680.59,Meireles,Nordeste,CE,Fabio Lima
V00263,2026-04-19,106,Higiene,114,2694.1,Meireles,Nordeste,CE,Fabio Lima
V00264,2026-04-24,106,Higiene,71,1951.39,Meireles,Nordeste,CE,Fabio Lima
V00265,2026-04-24,106,Limpeza,125,2476.83,Meireles,Nordeste,CE,Fabio Lima
V00266,2026-04-09,106,Limpeza,154,2919.04,Meireles,Nordeste,CE,Fabio Lima
V00267,2026-04-16,106,Mercearia,106,1776.1,Meireles,Nordeste,CE,Fabio Lima
V00268,2026-04-12,106,Mercearia,91,1462.46,Meireles,Nordeste,CE,Fabio Lima
V00269,2026-04-17,106,Padaria,52,713.32,Meireles,Nordeste,CE,Fabio Lima
V00270,2026-04-08,106,Padaria,75,886.22,Meireles,Nordeste,CE,Fabio Lima
V00271,2026-04-15,107,Bebidas,118,4483.73,Moinhos,Sul,RS,Gisele Kunz
V00272,2026-04-28,107,Bebidas,130,5624.12,Moinhos,Sul,RS,Gisele Kunz
V00273,2026-04-14,107,Higiene,25,570.73,Moinhos,Sul,RS,Gisele Kunz
V00274,2026-04-16,107,Higiene,141,3945.28,Moinhos,Sul,RS,Gisele Kunz
V00275,2026-04-27,107,Limpeza,20,365.48,Moinhos,Sul,RS,Gisele Kunz
V00276,2026-04-15,107,Limpeza,155,3435.72,Moinhos,Sul,RS,Gisele Kunz
V00277,2026-04-08,107,Mercearia,83,1400.62,Moinhos,Sul,RS,Gisele Kunz
V00278,2026-04-22,107,Mercearia,59,852.28,Moinhos,Sul,RS,Gisele Kunz
V00279,2026-04-24,107,Padaria,47,683.04,Moinhos,Sul,RS,Gisele Kunz
V00280,2026-04-25,107,Padaria,137,1615.51,Moinhos,Sul,RS,Gisele Kunz
V00281,2026-05-05,101,Bebidas,30,1026.39,Asa Norte,Centro-Oeste,DF,Marina Alves
V00282,2026-05-02,101,Bebidas,79,3129.12,Asa Norte,Centro-Oeste,DF,Marina Alves
